@relation 'Relase 4 integrated-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R4'

@attribute 'Filters result' {PASSED,FAILED}
@attribute 'Gross profit (IS)' numeric
@attribute 'Gross loss (IS)' numeric
@attribute 'numberof profits (IS)' numeric
@attribute 'numberof trades (IS)' numeric
@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Worst Year Profit (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'AvgProfit Per Year (IS)' numeric
@attribute 'Standard Deviation of Profit Per Year (IS)' numeric
@attribute 'Varianceof Profit Per Year (IS)' numeric
@attribute 'Net profit (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Profit Per Year (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric

@data
PASSED,10464,4290,28,44,53.85,28,44,16,-36,7.72,6.19,0.74,7.72,771.75,575.43,331120.69,6174,823.2,102.9,76.72,5886.59,331120.69,1,0.745578
PASSED,8403.75,3087,21,35,53.85,21,35,14,-317.25,6.65,5.47,0.71,6.65,664.5,609.67,371702.04,5316.75,708.9,88.61,81.29,6608.04,371702.04,1,0.917391
PASSED,8596.5,2514,24,36,53.85,24,36,12,-192.75,7.6,6.12,1.15,7.6,760.25,739.75,547228.38,6082.5,811,101.37,98.63,9728.5,547228.38,1,0.97297
PASSED,10361.25,4235.25,29,46,53.85,29,46,17,-108.75,7.66,6.16,0.74,7.66,765.75,610.19,372334.22,6126,816.8,102.1,81.36,6619.27,372334.22,1,0.796866
PASSED,8404.5,3019.5,23,37,53.85,23,37,14,-129,6.73,5.53,0.91,6.73,673.13,541.39,293101.03,5385,718,89.75,72.19,5210.69,293101.03,1,0.804345
PASSED,8116.5,3218.25,21,38,30.77,21,38,17,-342,6.12,5.11,0.89,6.12,612.25,1063.55,1131147.41,4898.25,653.1,81.64,141.81,20109.29,1131147.41,4,1.737016
PASSED,8374.5,2394.75,24,36,53.85,24,36,12,-152.25,7.47,6.03,1.06,7.47,747.38,725.52,526378.5,5979.75,797.3,99.66,96.74,9357.84,526378.5,1,0.9707
PASSED,8445.75,2514,23,35,53.85,23,35,12,-192.75,7.41,5.99,1.11,7.41,741.38,719.55,517756.22,5931.75,790.9,98.86,95.94,9204.55,517756.22,1,0.970463
PASSED,8251.5,3456.75,21,36,38.46,21,36,15,-281.25,5.99,5.02,0.73,5.99,599.25,935.62,875386.48,4794.75,639.3,79.91,124.75,15562.43,875386.48,3,1.561131
PASSED,7995.75,1880.25,25,36,53.85,25,36,11,-96,7.64,6.15,1.31,7.64,764.38,585.81,343175.03,6115.5,815.4,101.93,78.11,6100.89,343175.03,1,0.76631
PASSED,8073,2509.5,23,36,53.85,23,36,13,-129,6.95,5.69,0.95,6.95,695.38,598.84,358609.05,5563.5,741.8,92.72,79.85,6375.27,358609.05,1,0.861195
PASSED,8352,3456.75,21,36,38.46,21,36,15,-281.25,6.12,5.11,0.74,6.12,611.88,963.66,928648.33,4895.25,652.7,81.59,128.49,16509.3,928648.33,3,1.574825
PASSED,7724.25,3139.5,21,37,30.77,21,37,16,-333.75,5.73,4.83,0.8,5.73,573,1116.11,1245706.95,4584.75,611.3,76.41,148.81,22145.9,1245706.95,4,1.94752
PASSED,8369.25,2926.5,22,36,53.85,22,36,14,-505.5,6.8,5.58,0.79,6.8,680.25,718.7,516529.76,5442.75,725.7,90.71,95.83,9182.75,516529.76,1,1.056444
PASSED,8294.25,2926.5,22,36,53.85,22,36,14,-505.5,6.71,5.52,0.78,6.71,670.88,716.05,512731.12,5367.75,715.7,89.46,95.47,9115.22,512731.12,1,1.067181
PASSED,9120.75,2937,25,36,53.85,25,36,11,-167.25,7.73,6.2,0.87,7.73,772.88,643.52,414124.03,6183.75,824.5,103.06,85.8,7362.2,414124.03,1,0.832525
PASSED,10967.25,4408.5,26,42,53.85,26,42,16,-107.25,8.2,6.51,0.8,8.2,819.75,696.96,485754.4,6558.75,874.5,109.31,92.93,8635.63,485754.4,1,0.850151
PASSED,9612.75,4098,28,45,53.85,28,45,17,-152.25,6.89,5.64,0.77,6.89,689.25,651.06,423877.01,5514.75,735.3,91.91,86.81,7535.59,423877.01,1,0.944511
PASSED,8640.75,2958.75,23,37,53.85,23,37,14,-129,7.1,5.79,0.86,7.1,710.25,571.73,326869.88,5682,757.6,94.7,76.23,5811.02,326869.88,1,0.804963
PASSED,8023.5,2394.75,24,36,53.85,24,36,12,-152.25,7.04,5.74,0.98,7.04,703.5,637.18,405993.02,5628.75,750.5,93.81,84.96,7217.65,405993.02,1,0.90566
PASSED,9225.75,2457.75,27,37,53.85,27,37,10,-48,8.46,6.67,0.92,8.46,846,645.69,416916.14,6768,902.4,112.8,86.09,7411.84,416916.14,1,0.763209
PASSED,8284.5,2448.75,23,36,53.85,23,36,13,-129,7.29,5.91,0.89,7.3,729.38,623.16,388325.81,5835.75,778.1,97.26,83.09,6903.57,388325.81,1,0.854308
PASSED,8584.5,2733,22,35,53.85,22,35,13,-194.25,7.31,5.93,0.91,7.31,731.38,594.83,353822.87,5851.5,780.2,97.53,79.31,6290.18,353822.87,1,0.813186
PASSED,9504.75,4098,29,46,53.85,29,46,17,-152.25,6.76,5.55,0.75,6.76,675.75,664.66,441768.73,5406.75,720.9,90.11,88.62,7853.67,441768.73,1,0.983465
PASSED,8178.75,2448.75,22,35,53.85,22,35,13,-129,7.16,5.83,0.87,7.16,716.25,599.9,359878.64,5730,764,95.5,79.99,6397.84,359878.64,1,0.837592
PASSED,8901,4206,27,45,30.77,27,45,18,-368.25,5.87,4.93,0.72,5.87,586.88,997.61,995219.02,4695,626,78.25,133.01,17692.78,995219.02,4,1.699808
