@relation 'Relase 4 integrated-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R4'

@attribute 'Filters result' {PASSED,FAILED}
@attribute 'Gross profit (IS)' numeric
@attribute 'Gross loss (IS)' numeric
@attribute 'numberof profits (IS)' numeric
@attribute 'numberof trades (IS)' numeric
@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Worst Year Profit (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'AvgProfit Per Year (IS)' numeric
@attribute 'Standard Deviation of Profit Per Year (IS)' numeric
@attribute 'Varianceof Profit Per Year (IS)' numeric
@attribute 'Net profit (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Profit Per Year (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric

@data
PASSED,5618.25,2364.75,23,37,63.64,23,37,14,-64.5,4.07,3.58,0.82,4.07,406.63,517.33,267632.27,3253.5,433.8,54.22,68.98,4757.91,267632.27,1,1.272224
FAILED,6549.75,2136.75,20,32,63.64,20,32,12,-147,5.52,4.68,0.92,5.52,551.63,628.63,395179.17,4413,588.4,73.55,83.82,7025.41,395179.17,1,1.139633
FAILED,5934,2274.75,20,32,63.64,20,32,12,-9,4.57,3.97,0.87,4.57,457.38,586.24,343676.31,3659.25,487.9,60.99,78.17,6109.8,343676.31,1,1.281686
PASSED,5703,2100.75,20,32,54.55,20,32,12,-96,4.5,3.92,1.02,4.5,450.25,595.17,354232.54,3602.25,480.3,60.04,79.36,6297.47,354232.54,2,1.321785
FAILED,6520.5,1986,21,32,63.64,21,32,11,-165,5.67,4.79,1.01,5.67,566.75,623.68,388982.64,4534.5,604.6,75.57,83.16,6915.25,388982.64,1,1.100437
PASSED,4887.75,2112.75,22,35,54.55,22,35,13,-293.25,3.47,3.11,0.82,3.47,346.88,451.18,203561.86,2775,370,46.25,60.16,3618.88,203561.86,2,1.300757
FAILED,6450.75,1986,21,32,63.64,21,32,11,-165,5.58,4.72,0.99,5.58,558,613.13,375923.32,4464.75,595.3,74.41,81.75,6683.08,375923.32,1,1.098643
FAILED,9028.5,3066.75,21,33,54.55,21,33,12,-243.75,7.45,6.02,0.86,7.45,745.13,939.8,883225.97,5961.75,794.9,99.36,125.31,15701.79,883225.97,2,1.261171
FAILED,5550,2380.5,17,32,54.55,17,32,15,-294.75,3.96,3.5,0.72,3.96,396.13,568.81,323546.03,3169.5,422.6,52.82,75.84,5751.93,323546.03,2,1.43582
FAILED,6576.75,2178,20,33,63.64,20,33,13,-147,5.5,4.66,0.92,5.5,549.75,626.5,392506.8,4398.75,586.5,73.31,83.53,6977.9,392506.8,1,1.139408
FAILED,8185.5,2959.5,19,33,54.55,19,33,14,-492,6.53,5.4,0.75,6.53,653.25,975.12,950864.91,5226,696.8,87.1,130.02,16904.26,950864.91,2,1.492767
FAILED,8214.75,3297,21,34,45.45,21,34,13,-285.75,6.15,5.13,0.71,6.15,614.63,952.29,906855.89,4917.75,655.7,81.96,126.97,16121.88,906855.89,3,1.54917
PASSED,5660.25,2261.25,19,35,63.64,19,35,16,-44.25,4.25,3.73,0.85,4.25,424.88,460.71,212256.56,3399,453.2,56.65,61.43,3773.45,212256.56,1,1.084378
FAILED,8941.5,3066.75,21,33,54.55,21,33,12,-243.75,7.34,5.95,0.84,7.34,734.25,921.38,848943.21,5874.75,783.3,97.91,122.85,15092.32,848943.21,2,1.254724
PASSED,4611.75,2112.75,23,36,54.55,23,36,13,-293.25,3.12,2.83,0.73,3.12,312.38,447.31,200089.13,2499,333.2,41.65,59.64,3557.14,200089.13,2,1.431933
FAILED,5985,2169,20,32,54.55,20,32,12,-166.5,4.77,4.12,0.85,4.77,477,654.52,428391.98,3816,508.8,63.6,87.27,7615.86,428391.98,2,1.37217
FAILED,5189.25,2040,19,33,54.55,19,33,14,-522,3.94,3.48,0.71,3.94,393.63,672.97,452891.45,3149.25,419.9,52.49,89.73,8051.4,452891.45,2,1.709468
FAILED,4648.5,1630.5,24,33,63.64,24,33,9,-79.5,3.77,3.35,0.76,3.77,377.25,392.2,153819.42,3018,402.4,50.3,52.29,2734.57,153819.42,1,1.039563
PASSED,5561.25,1997.25,18,32,54.55,18,32,14,-64.5,4.46,3.88,1.1,4.45,445.5,550.9,303495.47,3564,475.2,59.4,73.45,5395.48,303495.47,2,1.236532
PASSED,5636.25,1997.25,18,32,54.55,18,32,14,-64.5,4.55,3.96,1.13,4.55,454.88,559.46,312998.2,3639,485.2,60.65,74.59,5564.41,312998.2,2,1.229843
FAILED,2017.5,835.5,18,32,45.45,18,32,14,-170.25,1.48,1.41,0.71,1.48,147.75,242.29,58706.44,1182,157.6,19.7,32.31,1043.67,58706.44,3,1.640102
FAILED,8047.5,2926.5,19,33,45.45,19,33,14,-293.25,6.4,5.3,0.73,6.4,640.13,871.67,759811.22,5121,682.8,85.35,116.22,13507.75,759811.22,3,1.361687
FAILED,6096,2331.75,20,32,54.55,20,32,12,-148.5,4.71,4.07,0.79,4.7,470.5,673.43,453511.54,3764.25,501.9,62.74,89.79,8062.43,453511.54,2,1.431144
PASSED,5514.75,1997.25,18,32,54.55,18,32,14,-64.5,4.4,3.84,1.08,4.4,439.63,546.1,298221.72,3517.5,469,58.63,72.81,5301.72,298221.72,2,1.241856
PASSED,4693.5,2008.5,22,34,63.64,22,34,12,-293.25,3.36,3.02,0.88,3.36,335.63,467.65,218694.8,2685,358,44.75,62.35,3887.91,218694.8,1,1.393296
PASSED,5685,2100.75,20,32,54.55,20,32,12,-96,4.48,3.9,1.02,4.48,448,573.03,328367.8,3584.25,477.9,59.74,76.4,5837.65,328367.8,2,1.278875
PASSED,5566.5,2100.75,20,32,54.55,20,32,12,-96,4.33,3.79,0.98,4.33,433.13,562.81,316758.51,3465.75,462.1,57.76,75.04,5631.26,316758.51,2,1.299169
PASSED,4804.5,2112.75,23,36,54.55,23,36,13,-293.25,3.36,3.02,0.79,3.37,336.38,461.9,213350.48,2691.75,358.9,44.86,61.59,3792.9,213350.48,2,1.372938
PASSED,4286.25,1840.5,22,32,54.55,22,32,10,-293.25,3.06,2.77,0.8,3.06,305.63,458.45,210172.5,2445.75,326.1,40.76,61.13,3736.4,210172.5,2,1.499755
FAILED,4498.5,1630.5,24,33,63.64,24,33,9,-79.5,3.58,3.2,0.72,3.59,358.5,398.34,158670.98,2868,382.4,47.8,53.11,2820.82,158670.98,1,1.111088
